acl 2.2.53-3
python-ifaddr 0.1.7-1
python-lxml 4.6.1-1
python-markdown 3.3-1
python-mechanize 1:0.4.5-2
python-msgpack 1.0.0-1
python-netifaces 0.10.9-4
python-ordered-set 4.0.2-1
python-packaging 20.4-1
python-pep517 0.8.2-1
python-pillow 7.2.0-1
python-pip 20.1.1-1
python-powerline 2.8.1-1
python-progress 1.5-3
python-psutil 5.7.3-1
python-pyalsa 1.1.6-5
python-pychm 0.8.6-2
python-pygments 2.7.2-1
python-pyparsing 2.4.7-1
python-pyqt5 5.15.1-2
python-pyqt5-sip 12.8.1-1
python-pyqtwebengine 5.15.1-2
python-pytoml 0.1.21-4
python-regex 2020.10.15-1
python-requests 2.24.0-1
python-resolvelib 0.4.0-1
python-retrying 1.3.3-7
python-setuptools 1:50.3.2-1
python-sgmllib 5.2.1-6
python-six 1.15.0-1
python-soupsieve 2.0.1-1
python-toml 0.10.2-1
python-unrardll 0.1.4-3
python-urllib3 1.25.10-2
python-webencodings 0.5.1-4
python-zeroconf 0.28.6-1
python2 2.7.18-2
python2-appdirs 1.4.4-1
python2-apsw 3.33.0-3
python2-backports 1.0-3
python2-backports.functools_lru_cache 1.6.1-2
python2-beautifulsoup4 4.9.3-1
python2-chardet 3.0.4-5
python2-css-parser 1.0.4-3
python2-cssselect 1.1.0-4
python2-dateutil 2.8.1-3
python2-dbus 1.2.16-1
python2-dnspython 1.16.0-3
python2-enum34 1.1.9-1
python2-feedparser 5.2.1-6
python2-html2text 2019.8.11-4
python2-html5-parser 0.4.9-2
python2-html5lib 1.1-1
python2-ipaddress 1.0.23-2
python2-lxml 4.6.1-1
python2-markdown 3.1.1-5
python2-mechanize 1:0.4.5-1
python2-msgpack 0.6.2-4
python2-netifaces 0.10.9-3
python2-ordered-set 3.1.1-3
python2-packaging 20.4-1
python2-pillow 6.2.1-3
python2-psutil 5.7.3-1
python2-pychm 0.8.6-1
python2-pygments 2.5.2-2
python2-pyparsing 2.4.7-1
python2-pyqt5 5.15.1-1
python2-pyqtwebengine 5.15.1-1
python2-regex 2020.7.14-1
python2-setuptools 2:44.1.1-1
python2-sip-pyqt5 4.19.24-1
python2-six 1.15.0-1
python2-soupsieve 1.9.6-2
python2-unrardll 0.1.4-2
python2-webencodings 0.5.1-4
python36 3.6.12-1
qpdf 10.0.3-1
qt5-base 5.15.1-3
qt5-declarative 5.15.1-1
qt5-location 5.15.1-1
qt5-quickcontrols 5.15.1-1
qt5-sensors 5.15.1-1
qt5-svg 5.15.1-1
qt5-webchannel 5.15.1-1
qt5-webengine 5.15.1-3
qt5-webkit 5.212.0alpha4-7
qt5-x11extras 5.15.1-1
ranger 1.9.3-2
raptor 2.0.15-13
rasqal 1:0.9.33-3
rav1e 0.3.4-1
re2 1:20201001-1
readline 8.0.004-1
redland 1:1.0.17-8
redshift 1.12-3
rest 0.8.1-3
rhash 1.4.0-1
rsync 3.2.3-1
rtkit 0.13-1
rubberband 1.9-1
run-parts 4.8.6.1-2
rxvt-unicode 9.22-10
rxvt-unicode-terminfo 9.22-10
sbc 1.4-2
sdl2 2.0.12-2
sdx 20110317-1
sed 4.8-1
semver 7.3.2-1
shaderc 2020.0-1
shadow 4.8.1-4
shared-mime-info 2.0+1+g6bf9e4f-2
shrinkpdf 1.0-5
smbclient 4.13.1-1
snappy 1.1.8-2
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2020.4-1
spotify 1:1.1.10.546-4
sqlite 3.33.0-2
srt 1.4.2-1
startup-notification 0.12-7
